Código ,Nombre,Código ,Nombre,Código ,Nombre,,LATITUD,LONGITUD
05,ANTIOQUIA,05034,ANDES,05034003,SAN JOSÉ,CP,5.7360894470000003,-75.870355279999998
05,ANTIOQUIA,05034,ANDES,05034006,SANTA RITA,CP,5.6126186630000001,-75.917337649000004
05,ANTIOQUIA,05034,ANDES,05034007,TAPARTÓ,CP,5.7009290459999997,-75.965055058000004
05,ANTIOQUIA,05034,ANDES,05034012,SANTA INÉS,CP,5.563851219,-75.899903879999997
05,ANTIOQUIA,05034,ANDES,05034014,SAN BARTOLO,CP,5.6376151249999999,-75.853417816000004
05,ANTIOQUIA,05034,ANDES,05034015,LA CHAPARRALA - LA UNIÓN,CP,5.6528480549999998,-75.924471303999994
05,ANTIOQUIA,05036,ANGELÓPOLIS,05036000,ANGELÓPOLIS,CM,6.1097190640000001,-75.711389214999997
05,ANTIOQUIA,05036,ANGELÓPOLIS,05036001,LA ESTACIÓN,CP,6.084546907,-75.703416130999997
05,ANTIOQUIA,05036,ANGELÓPOLIS,05036006,SANTA RITA,CP,6.099416862,-75.709746272000004
05,ANTIOQUIA,05036,ANGELÓPOLIS,05036011,CIENAGUITA,CP,6.119026946,-75.748825581999995
05,ANTIOQUIA,05038,ANGOSTURA,05038000,ANGOSTURA,CM,6.8851745910000002,-75.335115965
05,ANTIOQUIA,05038,ANGOSTURA,05038008,LLANOS DE CUIBA,CP,6.8129749669999997,-75.487458974000006
05,ANTIOQUIA,05040,ANORÍ,05040000,ANORÍ,CM,7.0747028529999998,-75.148355123000002
05,ANTIOQUIA,05040,ANORÍ,05040002,LIBERIA,CP,7.3813556790000003,-74.999434364999999
05,ANTIOQUIA,05042,SANTA FÉ DE ANTIOQUIA,05042000,SANTA FÉ DE ANTIOQUIA,CM,6.5565666379999996,-75.827043032000006
05,ANTIOQUIA,05042,SANTA FÉ DE ANTIOQUIA,05042002,LAURELES,CP,6.4909189649999997,-75.947974729999999
05,ANTIOQUIA,05042,SANTA FÉ DE ANTIOQUIA,05042006,EL PESCADO,CP,6.4950844050000001,-75.909864131999996
05,ANTIOQUIA,05042,SANTA FÉ DE ANTIOQUIA,05042007,SABANAS,CP,6.4612603699999998,-75.912362388000005
05,ANTIOQUIA,05042,SANTA FÉ DE ANTIOQUIA,05042008,KILOMETRO 2,CP,6.5604210490000003,-75.846440892000004
05,ANTIOQUIA,05042,SANTA FÉ DE ANTIOQUIA,05042009,PASO REAL,CP,6.5151860839999998,-75.818215905000002
05,ANTIOQUIA,05044,ANZÁ,05044000,ANZÁ,CM,6.3026411720000004,-75.854442286999998
05,ANTIOQUIA,05044,ANZÁ,05044001,GUINTAR,CP,6.3020901650000001,-75.956132165
05,ANTIOQUIA,05044,ANZÁ,05044005,LA CEJITA,CP,6.3267008349999996,-75.911027093000001
05,ANTIOQUIA,05044,ANZÁ,05044006,LA HIGUINA,CP,6.3673181249999997,-75.850988623000006
05,ANTIOQUIA,05045,APARTADÓ,05045000,APARTADÓ,CM,7.883319706,-76.625310954
05,ANTIOQUIA,05045,APARTADÓ,05045001,SAN JOSÉ DE APARTADÓ,CP,7.8838939589999999,-76.562245609000001
05,ANTIOQUIA,05045,APARTADÓ,05045002,CHURIDÓ,CP,7.8645650170000003,-76.668837460999995
05,ANTIOQUIA,05045,APARTADÓ,05045003,ZUNGO CARRETERA,CP,7.8237429059999997,-76.649045013000006
05,ANTIOQUIA,05045,APARTADÓ,05045008,VIJAGUAL,CP,7.7901018689999999,-76.658399434000003
05,ANTIOQUIA,05045,APARTADÓ,05045009,EL REPOSO,CP,7.7994913410000004,-76.653891291999997
