Aglomeración,SC Función ciudades,Departamento,Municipio,Divipola,AÑO,CV-01-1
A-Bogotá,En aglomeración,Cundinamarca,Zipaquirá,25899,2018,128426
SA-Otros SC,Uninodal,Chocó,Quibdó,27001,2018,116178
Fuera SC,Fuera SC,Chocó,Acandí,27006,2018,9335
Fuera SC,Fuera SC,Chocó,Alto Baudó,27025,2018,39684
Fuera SC,Fuera SC,Chocó,Atrato,27050,2018,10751
Fuera SC,Fuera SC,Chocó,Bagadó,27073,2018,7937
Fuera SC,Fuera SC,Chocó,Bahía Solano,27075,2018,9400
Fuera SC,Fuera SC,Chocó,Bajo Baudó,27077,2018,17733
Fuera SC,Fuera SC,Chocó,Bojayá,27099,2018,10113
Fuera SC,Fuera SC,Chocó,El Cantón del San Pablo,27135,2018,8586
Fuera SC,Fuera SC,Chocó,Carmen del Darién,27150,2018,5548
Fuera SC,Fuera SC,Chocó,Cértegui,27160,2018,10196
Fuera SC,Fuera SC,Chocó,Condoto,27205,2018,15165
Fuera SC,Fuera SC,Chocó,El Carmen de Atrato,27245,2018,14770
Fuera SC,Fuera SC,Chocó,El Litoral del San Juan,27250,2018,16405
Fuera SC,Fuera SC,Chocó,Istmina,27361,2018,25833
Fuera SC,Fuera SC,Chocó,Juradó,27372,2018,3239
Fuera SC,Fuera SC,Chocó,Lloró,27413,2018,11461
Fuera SC,Fuera SC,Chocó,Medio Atrato,27425,2018,32486
Fuera SC,Fuera SC,Chocó,Medio Baudó,27430,2018,14150
Fuera SC,Fuera SC,Chocó,Medio San Juan,27450,2018,17456
Fuera SC,Fuera SC,Chocó,Nóvita,27491,2018,7958
Fuera SC,Fuera SC,Chocó,Nuquí,27495,2018,8866
Fuera SC,Fuera SC,Chocó,Río Iró,27580,2018,10218
Fuera SC,Fuera SC,Chocó,Río Quito,27600,2018,9292
Fuera SC,Fuera SC,Chocó,Riosucio,27615,2018,28986
Fuera SC,Fuera SC,Chocó,San José del Palmar,27660,2018,4740
Fuera SC,Fuera SC,Chocó,Sipí,27745,2018,4219
Fuera SC,Fuera SC,Chocó,Tadó,27787,2018,19112
Fuera SC,Fuera SC,Chocó,Unguía,27800,2018,15263
Fuera SC,Fuera SC,Chocó,Unión Panamericana,27810,2018,10065
SA-Otros SC,Uninodal,Huila,Neiva,41001,2018,347438
Fuera SC,Fuera SC,Huila,Acevedo,41006,2018,35107
Fuera SC,Fuera SC,Huila,Agrado,41013,2018,9223
Fuera SC,Fuera SC,Huila,Aipe,41016,2018,28418
Fuera SC,Fuera SC,Huila,Algeciras,41020,2018,24662
Fuera SC,Fuera SC,Huila,Altamira,41026,2018,4538
Fuera SC,Fuera SC,Huila,Baraya,41078,2018,9718
Fuera SC,Fuera SC,Huila,Campoalegre,41132,2018,34772
Fuera SC,Fuera SC,Huila,Colombia,41206,2018,12778
Fuera SC,Fuera SC,Huila,Elías,41244,2018,4130
Fuera SC,Fuera SC,Huila,Garzón,41298,2018,94219
Fuera SC,Fuera SC,Huila,Gigante,41306,2018,34952
Fuera SC,Fuera SC,Huila,Guadalupe,41319,2018,22467
Fuera SC,Fuera SC,Huila,Hobo,41349,2018,7019
Fuera SC,Fuera SC,Huila,Íquira,41357,2018,13403
Fuera SC,Fuera SC,Huila,Isnos,41359,2018,28187
Fuera SC,Fuera SC,Huila,La Argentina,41378,2018,14797
Fuera SC,Fuera SC,Huila,La Plata,41396,2018,66072
Fuera SC,Fuera SC,Huila,Nátaga,41483,2018,6496
Fuera SC,Fuera SC,Huila,Oporapa,41503,2018,14475
Fuera SC,Fuera SC,Huila,Paicol,41518,2018,5691
Fuera SC,Fuera SC,Huila,Palermo,41524,2018,34406
Fuera SC,Fuera SC,Huila,Palestina,41530,2018,11950
Fuera SC,Fuera SC,Huila,Pital,41548,2018,13951
Fuera SC,Fuera SC,Huila,Pitalito,41551,2018,133205
Fuera SC,Fuera SC,Huila,Rivera,41615,2018,19378
Fuera SC,Fuera SC,Huila,Saladoblanco,41660,2018,11821
Fuera SC,Fuera SC,Huila,San Agustín,41668,2018,33814
Fuera SC,Fuera SC,Huila,Santa María,41676,2018,11646
Fuera SC,Fuera SC,Huila,Suaza,41770,2018,20558
Fuera SC,Fuera SC,Huila,Tarqui,41791,2018,18096
Fuera SC,Fuera SC,Huila,Tesalia,41797,2018,9346
Fuera SC,Fuera SC,Huila,Tello,41799,2018,14448
Fuera SC,Fuera SC,Huila,Teruel,41801,2018,8876
Fuera SC,Fuera SC,Huila,Timaná,41807,2018,20423
Fuera SC,Fuera SC,Huila,Villavieja,41872,2018,7307
Fuera SC,Fuera SC,Huila,Yaguará,41885,2018,9294
SA-Riohacha-Maicao,Uninodal,La Guajira,Riohacha,44001,2018,286973
Fuera SC,Fuera SC,La Guajira,Albania,44035,2018,28044
Fuera SC,Fuera SC,La Guajira,Barrancas,44078,2018,36862
Fuera SC,Fuera SC,La Guajira,Dibulla,44090,2018,36636
Fuera SC,Fuera SC,La Guajira,Distracción,44098,2018,16799
Fuera SC,Fuera SC,La Guajira,El Molino,44110,2018,9037
Fuera SC,Fuera SC,La Guajira,Fonseca,44279,2018,34762
Fuera SC,Fuera SC,La Guajira,Hatonuevo,44378,2018,27721
Fuera SC,Fuera SC,La Guajira,La Jagua del Pilar,44420,2018,3308
SA-Riohacha-Maicao,Uninodal,La Guajira,Maicao,44430,2018,164424
Fuera SC,Fuera SC,La Guajira,Manaure,44560,2018,116248
Fuera SC,Fuera SC,La Guajira,San Juan del Cesar,44650,2018,38900
Fuera SC,Fuera SC,La Guajira,Uribia,44847,2018,192721
Fuera SC,Fuera SC,La Guajira,Urumita,44855,2018,19214
Fuera SC,Fuera SC,La Guajira,Villanueva,44874,2018,28508
SA-Eje Caribe,Uninodal,Magdalena,Santa Marta,47001,2018,507455
Fuera SC,Fuera SC,Magdalena,Algarrobo,47030,2018,12830
Fuera SC,Fuera SC,Magdalena,Aracataca,47053,2018,40879
Fuera SC,Fuera SC,Magdalena,Ariguaní,47058,2018,32527
Fuera SC,Fuera SC,Magdalena,Cerro de San Antonio,47161,2018,7734
Fuera SC,Fuera SC,Magdalena,Chivolo,47170,2018,15793
SA-Eje Caribe,Uninodal,Magdalena,Ciénaga,47189,2018,105206
Fuera SC,Fuera SC,Magdalena,Concordia,47205,2018,9260
Fuera SC,Fuera SC,Magdalena,El Banco,47245,2018,55949
Fuera SC,Fuera SC,Magdalena,El Piñón,47258,2018,16718
Fuera SC,Fuera SC,Magdalena,El Retén,47268,2018,21766
Fuera SC,Fuera SC,Magdalena,Fundación,47288,2018,57527
Fuera SC,Fuera SC,Magdalena,Guamal,47318,2018,28012
Fuera SC,Fuera SC,Magdalena,Nueva Granada,47460,2018,21130
Fuera SC,Fuera SC,Magdalena,Pedraza,47541,2018,8095
Fuera SC,Fuera SC,Magdalena,Pijiño del Carmen,47545,2018,16411
Fuera SC,Fuera SC,Magdalena,Pivijay,47551,2018,33400
Fuera SC,Fuera SC,Magdalena,Plato,47555,2018,60824
Fuera SC,Fuera SC,Magdalena,Puebloviejo,47570,2018,32346
Fuera SC,Fuera SC,Magdalena,Remolino,47605,2018,7980
Fuera SC,Fuera SC,Magdalena,Sabanas de San Ángel,47660,2018,17568
Fuera SC,Fuera SC,Magdalena,Salamina,47675,2018,6758
Fuera SC,Fuera SC,Magdalena,San Sebastián de Buenavista,47692,2018,17568
Fuera SC,Fuera SC,Magdalena,San Zenón,47703,2018,9178
Fuera SC,Fuera SC,Magdalena,Santa Ana,47707,2018,26923
Fuera SC,Fuera SC,Magdalena,Santa Bárbara de Pinto,47720,2018,13103
A-Barranquilla,En aglomeración,Magdalena,Sitionuevo,47745,2018,32801
Fuera SC,Fuera SC,Magdalena,Tenerife,47798,2018,12214
Fuera SC,Fuera SC,Magdalena,Zapayán,47960,2018,8907
Fuera SC,Fuera SC,Magdalena,Zona Bananera,47980,2018,61829
A-Villavicencio,Centro aglomeración,Meta,Villavicencio,50001,2018,516831
Fuera SC,Fuera SC,Meta,Acacías,50006,2018,73640
Fuera SC,Fuera SC,Meta,Barranca de Upía,50110,2018,4180
Fuera SC,Fuera SC,Meta,Cabuyaro,50124,2018,4108
Fuera SC,Fuera SC,Meta,Castilla la Nueva,50150,2018,10494
Fuera SC,Fuera SC,Meta,Cubarral,50223,2018,6188
Fuera SC,Fuera SC,Meta,Cumaral,50226,2018,18395
Fuera SC,Fuera SC,Meta,El Calvario,50245,2018,2222
Fuera SC,Fuera SC,Meta,El Castillo,50251,2018,6184
Fuera SC,Fuera SC,Meta,El Dorado,50270,2018,3451
Fuera SC,Fuera SC,Meta,Fuente de Oro,50287,2018,13919
Fuera SC,Fuera SC,Meta,Granada,50313,2018,65952
Fuera SC,Fuera SC,Meta,Guamal,50318,2018,9477
Fuera SC,Fuera SC,Meta,Mapiripán,50325,2018,18532
Fuera SC,Fuera SC,Meta,Mesetas,50330,2018,11481
Fuera SC,Fuera SC,Meta,La Macarena,50350,2018,35766
Fuera SC,Fuera SC,Meta,Uribe,50370,2018,17329
Fuera SC,Fuera SC,Meta,Lejanías,50400,2018,9303
Fuera SC,Fuera SC,Meta,Puerto Concordia,50450,2018,22559
Fuera SC,Fuera SC,Meta,Puerto Gaitán,50568,2018,18903
Fuera SC,Fuera SC,Meta,Puerto López,50573,2018,34696
Fuera SC,Fuera SC,Meta,Puerto Lleras,50577,2018,9491
Fuera SC,Fuera SC,Meta,Puerto Rico,50590,2018,18870
A-Villavicencio,En aglomeración,Meta,Restrepo,50606,2018,10686
Fuera SC,Fuera SC,Meta,San Carlos de Guaroa,50680,2018,10680
Fuera SC,Fuera SC,Meta,San Juan de Arama,50683,2018,8728
Fuera SC,Fuera SC,Meta,San Juanito,50686,2018,2241
Fuera SC,Fuera SC,Meta,San Martín,50689,2018,25605
Fuera SC,Fuera SC,Meta,Vistahermosa,50711,2018,26790
A-Pasto,Centro aglomeración,Nariño,Pasto,52001,2018,455678
Fuera SC,Fuera SC,Nariño,Albán,52019,2018,22999
Fuera SC,Fuera SC,Nariño,Aldana,52022,2018,5855
Fuera SC,Fuera SC,Nariño,Ancuyá,52036,2018,6572
Fuera SC,Fuera SC,Nariño,Arboleda,52051,2018,7573
Fuera SC,Fuera SC,Nariño,Barbacoas,52079,2018,40429
Fuera SC,Fuera SC,Nariño,Belén,52083,2018,7801
Fuera SC,Fuera SC,Nariño,Buesaco,52110,2018,25947
Fuera SC,Fuera SC,Nariño,Colón,52203,2018,10238
Fuera SC,Fuera SC,Nariño,Consacá,52207,2018,9099
Fuera SC,Fuera SC,Nariño,Contadero,52210,2018,7035
Fuera SC,Fuera SC,Nariño,Córdoba,52215,2018,14091
Fuera SC,Fuera SC,Nariño,Cuaspud,52224,2018,8727
Fuera SC,Fuera SC,Nariño,Cumbal,52227,2018,39791
Fuera SC,Fuera SC,Nariño,Cumbitara,52233,2018,16598
Fuera SC,Fuera SC,Nariño,Chachagüí,52240,2018,14045
Fuera SC,Fuera SC,Nariño,El Charco,52250,2018,41042
Fuera SC,Fuera SC,Nariño,El Peñol,52254,2018,6383
Fuera SC,Fuera SC,Nariño,El Rosario,52256,2018,9801
Fuera SC,Fuera SC,Nariño,El Tablón de Gómez,52258,2018,12388
Fuera SC,Fuera SC,Nariño,El Tambo,52260,2018,11720
Fuera SC,Fuera SC,Nariño,Funes,52287,2018,6354
Fuera SC,Fuera SC,Nariño,Guachucal,52317,2018,15269
Fuera SC,Fuera SC,Nariño,Guaitarilla,52320,2018,11508
Fuera SC,Fuera SC,Nariño,Gualmatán,52323,2018,5782
Fuera SC,Fuera SC,Nariño,Iles,52352,2018,8956
Fuera SC,Fuera SC,Nariño,Imués,52354,2018,5902
SA-Otros SC,Uninodal,Nariño,Ipiales,52356,2018,148297
Fuera SC,Fuera SC,Nariño,La Cruz,52378,2018,18292
Fuera SC,Fuera SC,Nariño,La Florida,52381,2018,9297
Fuera SC,Fuera SC,Nariño,La Llanada,52385,2018,5563
Fuera SC,Fuera SC,Nariño,La Tola,52390,2018,14230
Fuera SC,Fuera SC,Nariño,La Unión,52399,2018,25483
Fuera SC,Fuera SC,Nariño,Leiva,52405,2018,14463
Fuera SC,Fuera SC,Nariño,Linares,52411,2018,9525
Fuera SC,Fuera SC,Nariño,Los Andes,52418,2018,20494
Fuera SC,Fuera SC,Nariño,Magüi,52427,2018,24610
Fuera SC,Fuera SC,Nariño,Mallama,52435,2018,7332
Fuera SC,Fuera SC,Nariño,Mosquera,52473,2018,17783
A-Pasto,En aglomeración,Nariño,Nariño,52480,2018,5074
Fuera SC,Fuera SC,Nariño,Olaya Herrera,52490,2018,32379
Fuera SC,Fuera SC,Nariño,Ospina,52506,2018,8834
Fuera SC,Fuera SC,Nariño,Francisco Pizarro,52520,2018,16461
Fuera SC,Fuera SC,Nariño,Policarpa,52540,2018,17783
Fuera SC,Fuera SC,Nariño,Potosí,52560,2018,11830
Fuera SC,Fuera SC,Nariño,Providencia,52565,2018,13711
Fuera SC,Fuera SC,Nariño,Puerres,52573,2018,8186
Fuera SC,Fuera SC,Nariño,Pupiales,52585,2018,19621
Fuera SC,Fuera SC,Nariño,Ricaurte,52612,2018,19930
Fuera SC,Fuera SC,Nariño,Roberto Payán,52621,2018,24695
Fuera SC,Fuera SC,Nariño,Samaniego,52678,2018,49270
Fuera SC,Fuera SC,Nariño,Sandoná,52683,2018,25746
Fuera SC,Fuera SC,Nariño,San Bernardo,52685,2018,20908
Fuera SC,Fuera SC,Nariño,San Lorenzo,52687,2018,20283
Fuera SC,Fuera SC,Nariño,San Pablo,52693,2018,17217
Fuera SC,Fuera SC,Nariño,San Pedro de Cartago,52694,2018,7657
Fuera SC,Fuera SC,Nariño,Santa Bárbara,52696,2018,14559
Fuera SC,Fuera SC,Nariño,Santacruz,52699,2018,30900
Fuera SC,Fuera SC,Nariño,Sapuyes,52720,2018,6017
Fuera SC,Fuera SC,Nariño,Taminango,52786,2018,21629
Fuera SC,Fuera SC,Nariño,Tangua,52788,2018,9252
SA-Otros SC,Uninodal,Nariño,San Andrés de Tumaco,52835,2018,212692
Fuera SC,Fuera SC,Nariño,Túquerres,52838,2018,40276
Fuera SC,Fuera SC,Nariño,Yacuanquer,52885,2018,11254
A-Cúcuta,Centro aglomeración,Norte de Santander,Cúcuta,54001,2018,668838
Fuera SC,Fuera SC,Norte de Santander,Ábrego,54003,2018,39090
Fuera SC,Fuera SC,Norte de Santander,Arboledas,54051,2018,8946
Fuera SC,Fuera SC,Norte de Santander,Bochalema,54099,2018,7103
Fuera SC,Fuera SC,Norte de Santander,Bucarasica,54109,2018,4573
Fuera SC,Fuera SC,Norte de Santander,Cácota,54125,2018,1763
Fuera SC,Fuera SC,Norte de Santander,Cáchira,54128,2018,11091
Fuera SC,Fuera SC,Norte de Santander,Chinácota,54172,2018,16848
Fuera SC,Fuera SC,Norte de Santander,Chitagá,54174,2018,10427
Fuera SC,Fuera SC,Norte de Santander,Convención,54206,2018,12765
Fuera SC,Fuera SC,Norte de Santander,Cucutilla,54223,2018,7491
Fuera SC,Fuera SC,Norte de Santander,Durania,54239,2018,3679
Fuera SC,Fuera SC,Norte de Santander,El Carmen,54245,2018,13363
Fuera SC,Fuera SC,Norte de Santander,El Tarra,54250,2018,11025
Fuera SC,Fuera SC,Norte de Santander,El Zulia,54261,2018,23663
Fuera SC,Fuera SC,Norte de Santander,Gramalote,54313,2018,5370
Fuera SC,Fuera SC,Norte de Santander,Hacarí,54344,2018,10860
Fuera SC,Fuera SC,Norte de Santander,Herrán,54347,2018,3924
Fuera SC,Fuera SC,Norte de Santander,Labateca,54377,2018,5898
Fuera SC,Fuera SC,Norte de Santander,La Esperanza,54385,2018,12370
Fuera SC,Fuera SC,Norte de Santander,La Playa,54398,2018,8563
A-Cúcuta,En aglomeración,Norte de Santander,Los Patios,54405,2018,79336
Fuera SC,Fuera SC,Norte de Santander,Lourdes,54418,2018,3351
Fuera SC,Fuera SC,Norte de Santander,Mutiscua,54480,2018,3727
SA-Otros SC,Uninodal,Norte de Santander,Ocaña,54498,2018,100461
SA-Otros SC,Uninodal,Norte de Santander,Pamplona,54518,2018,58592
Fuera SC,Fuera SC,Norte de Santander,Pamplonita,54520,2018,4971
Fuera SC,Fuera SC,Norte de Santander,Puerto Santander,54553,2018,10757
Fuera SC,Fuera SC,Norte de Santander,Ragonvalia,54599,2018,6907
Fuera SC,Fuera SC,Norte de Santander,Salazar,54660,2018,8870
Fuera SC,Fuera SC,Norte de Santander,San Calixto,54670,2018,13880
A-Cúcuta,En aglomeración,Norte de Santander,San Cayetano,54673,2018,5753
Fuera SC,Fuera SC,Norte de Santander,Santiago,54680,2018,2872
Fuera SC,Fuera SC,Norte de Santander,Sardinata,54720,2018,22596
Fuera SC,Fuera SC,Norte de Santander,Silos,54743,2018,4198
Fuera SC,Fuera SC,Norte de Santander,Teorama,54800,2018,22910
Fuera SC,Fuera SC,Norte de Santander,Tibú,54810,2018,37098
Fuera SC,Fuera SC,Norte de Santander,Toledo,54820,2018,17287
Fuera SC,Fuera SC,Norte de Santander,Villa Caro,54871,2018,5227
A-Cúcuta,En aglomeración,Norte de Santander,Villa del Rosario,54874,2018,94796
A-Armenia,Centro aglomeración,Quindío,Armenia,63001,2018,301224
Fuera SC,Fuera SC,Quindío,Buenavista,63111,2018,2758
A-Armenia,En aglomeración,Quindío,Calarcá,63130,2018,78779
A-Armenia,En aglomeración,Quindío,Circasia,63190,2018,30655
Fuera SC,Fuera SC,Quindío,Córdoba,63212,2018,5268
Fuera SC,Fuera SC,Quindío,Filandia,63272,2018,13580
Fuera SC,Fuera SC,Quindío,Génova,63302,2018,7487
A-Armenia,En aglomeración,Quindío,La Tebaida,63401,2018,45242
Fuera SC,Fuera SC,Quindío,Montenegro,63470,2018,41722
Fuera SC,Fuera SC,Quindío,Pijao,63548,2018,6000
Fuera SC,Fuera SC,Quindío,Quimbaya,63594,2018,35195
Fuera SC,Fuera SC,Quindío,Salento,63690,2018,7100
A-Pereira,Centro aglomeración,Risaralda,Pereira,66001,2018,476636
Fuera SC,Fuera SC,Risaralda,Apía,66045,2018,19426
Fuera SC,Fuera SC,Risaralda,Balboa,66075,2018,6333
Fuera SC,Fuera SC,Risaralda,Belén de Umbría,66088,2018,27728
A-Pereira,En aglomeración,Risaralda,Dosquebradas,66170,2018,204739
Fuera SC,Fuera SC,Risaralda,Guática,66318,2018,15169
Fuera SC,Fuera SC,Risaralda,La Celia,66383,2018,8544
Fuera SC,Fuera SC,Risaralda,La Virginia,66400,2018,32265
Fuera SC,Fuera SC,Risaralda,Marsella,66440,2018,23917
Fuera SC,Fuera SC,Risaralda,Mistrató,66456,2018,16595
Fuera SC,Fuera SC,Risaralda,Pueblo Rico,66572,2018,13817
Fuera SC,Fuera SC,Risaralda,Quinchía,66594,2018,33941
A-Pereira,En aglomeración,Risaralda,Santa Rosa de Cabal,66682,2018,72836
Fuera SC,Fuera SC,Risaralda,Santuario,66687,2018,15821
A-Bucaramanga,Centro aglomeración,Santander,Bucaramanga,68001,2018,528610
Fuera SC,Fuera SC,Santander,Aguada,68013,2018,1782
Fuera SC,Fuera SC,Santander,Albania,68020,2018,5289
Fuera SC,Fuera SC,Santander,Aratoca,68051,2018,8280
Fuera SC,Fuera SC,Santander,Barbosa,68077,2018,29352
Fuera SC,Fuera SC,Santander,Barichara,68079,2018,7062
SA-Bucaramanga,Uninodal,Santander,Barrancabermeja,68081,2018,191495
Fuera SC,Fuera SC,Santander,Betulia,68092,2018,5031
Fuera SC,Fuera SC,Santander,Bolívar,68101,2018,11919
Fuera SC,Fuera SC,Santander,Cabrera,68121,2018,2400
Fuera SC,Fuera SC,Santander,California,68132,2018,2037
Fuera SC,Fuera SC,Santander,Capitanejo,68147,2018,5430
Fuera SC,Fuera SC,Santander,Carcasí,68152,2018,4966
Fuera SC,Fuera SC,Santander,Cepitá,68160,2018,1819
Fuera SC,Fuera SC,Santander,Cerrito,68162,2018,5532
Fuera SC,Fuera SC,Santander,Charalá,68167,2018,10290
Fuera SC,Fuera SC,Santander,Charta,68169,2018,2549
Fuera SC,Fuera SC,Santander,Chima,68176,2018,3014
Fuera SC,Fuera SC,Santander,Chipatá,68179,2018,5062
Fuera SC,Fuera SC,Santander,Cimitarra,68190,2018,48328
Fuera SC,Fuera SC,Santander,Concepción,68207,2018,5110
Fuera SC,Fuera SC,Santander,Confines,68209,2018,2695
Fuera SC,Fuera SC,Santander,Contratación,68211,2018,3352
Fuera SC,Fuera SC,Santander,Coromoro,68217,2018,7642
Fuera SC,Fuera SC,Santander,Curití,68229,2018,12016
Fuera SC,Fuera SC,Santander,El Carmen de Chucurí,68235,2018,20671
Fuera SC,Fuera SC,Santander,El Guacamayo,68245,2018,1918
Fuera SC,Fuera SC,Santander,El Peñón,68250,2018,5038
Fuera SC,Fuera SC,Santander,El Playón,68255,2018,11385
Fuera SC,Fuera SC,Santander,Encino,68264,2018,2440
Fuera SC,Fuera SC,Santander,Enciso,68266,2018,3136
Fuera SC,Fuera SC,Santander,Florián,68271,2018,6276
A-Bucaramanga,En aglomeración,Santander,Floridablanca,68276,2018,267124
Fuera SC,Fuera SC,Santander,Galán,68296,2018,2139
Fuera SC,Fuera SC,Santander,Gámbita,68298,2018,5039
A-Bucaramanga,En aglomeración,Santander,Girón,68307,2018,195499
Fuera SC,Fuera SC,Santander,Guaca,68318,2018,6264
Fuera SC,Fuera SC,Santander,Guadalupe,68320,2018,4519
Fuera SC,Fuera SC,Santander,Guapotá,68322,2018,2096
Fuera SC,Fuera SC,Santander,Guavatá,68324,2018,3495
Fuera SC,Fuera SC,Santander,Güepsa,68327,2018,3730
Fuera SC,Fuera SC,Santander,Hato,68344,2018,2324
Fuera SC,Fuera SC,Santander,Jesús María,68368,2018,3045
Fuera SC,Fuera SC,Santander,Jordán,68370,2018,1089
Fuera SC,Fuera SC,Santander,La Belleza,68377,2018,8596
Fuera SC,Fuera SC,Santander,Landázuri,68385,2018,15430
Fuera SC,Fuera SC,Santander,La Paz,68397,2018,5027
Fuera SC,Fuera SC,Santander,Lebrija,68406,2018,41122
Fuera SC,Fuera SC,Santander,Los Santos,68418,2018,12539
Fuera SC,Fuera SC,Santander,Macaravita,68425,2018,2263
SA-Otros SC,Uninodal,Santander,Málaga,68432,2018,18271
Fuera SC,Fuera SC,Santander,Matanza,68444,2018,5147
Fuera SC,Fuera SC,Santander,Mogotes,68464,2018,10864
Fuera SC,Fuera SC,Santander,Molagavita,68468,2018,5029
Fuera SC,Fuera SC,Santander,Ocamonte,68498,2018,4702
Fuera SC,Fuera SC,Santander,Oiba,68500,2018,11980
Fuera SC,Fuera SC,Santander,Onzaga,68502,2018,4895
Fuera SC,Fuera SC,Santander,Palmar,68522,2018,3474
Fuera SC,Fuera SC,Santander,Palmas del Socorro,68524,2018,2196
Fuera SC,Fuera SC,Santander,Páramo,68533,2018,4252
A-Bucaramanga,En aglomeración,Santander,Piedecuesta,68547,2018,159760
Fuera SC,Fuera SC,Santander,Pinchote,68549,2018,5460
Fuera SC,Fuera SC,Santander,Puente Nacional,68572,2018,11900
Fuera SC,Fuera SC,Santander,Puerto Parra,68573,2018,7891
Fuera SC,Fuera SC,Santander,Puerto Wilches,68575,2018,31505
Fuera SC,Fuera SC,Santander,Rionegro,68615,2018,26461
Fuera SC,Fuera SC,Santander,Sabana de Torres,68655,2018,18149
Fuera SC,Fuera SC,Santander,San Andrés,68669,2018,8208
Fuera SC,Fuera SC,Santander,San Benito,68673,2018,4007
SA-Otros SC,Uninodal,Santander,San Gil,68679,2018,45891
Fuera SC,Fuera SC,Santander,San Joaquín,68682,2018,2371
Fuera SC,Fuera SC,Santander,San José de Miranda,68684,2018,4214
Fuera SC,Fuera SC,Santander,San Miguel,68686,2018,2295
Fuera SC,Fuera SC,Santander,San Vicente de Chucurí,68689,2018,35000
Fuera SC,Fuera SC,Santander,Santa Bárbara,68705,2018,2085
Fuera SC,Fuera SC,Santander,Santa Helena del Opón,68720,2018,4266
Fuera SC,Fuera SC,Santander,Simacota,68745,2018,7493
Fuera SC,Fuera SC,Santander,Socorro,68755,2018,30985
Fuera SC,Fuera SC,Santander,Suaita,68770,2018,10072
Fuera SC,Fuera SC,Santander,Sucre,68773,2018,8172
Fuera SC,Fuera SC,Santander,Suratá,68780,2018,3196
Fuera SC,Fuera SC,Santander,Tona,68820,2018,7201
Fuera SC,Fuera SC,Santander,Valle de San José,68855,2018,4495
Fuera SC,Fuera SC,Santander,Vélez,68861,2018,18871
Fuera SC,Fuera SC,Santander,Vetas,68867,2018,2464
Fuera SC,Fuera SC,Santander,Villanueva,68872,2018,5548
Fuera SC,Fuera SC,Santander,Zapatoca,68895,2018,8803
SA-Montería-Sincelejo,Uninodal,Sucre,Sincelejo,70001,2018,286749
Fuera SC,Fuera SC,Sucre,Buenavista,70110,2018,9746
Fuera SC,Fuera SC,Sucre,Caimito,70124,2018,12419
Fuera SC,Fuera SC,Sucre,Colosó,70204,2018,5731
Fuera SC,Fuera SC,Sucre,Corozal,70215,2018,63657
Fuera SC,Fuera SC,Sucre,Coveñas,70221,2018,14288
Fuera SC,Fuera SC,Sucre,Chalán,70230,2018,4401
Fuera SC,Fuera SC,Sucre,El Roble,70233,2018,10917
Fuera SC,Fuera SC,Sucre,Galeras,70235,2018,21199
Fuera SC,Fuera SC,Sucre,Guaranda,70265,2018,18124
Fuera SC,Fuera SC,Sucre,La Unión,70400,2018,11454
Fuera SC,Fuera SC,Sucre,Los Palmitos,70418,2018,19224
Fuera SC,Fuera SC,Sucre,Majagual,70429,2018,33811
Fuera SC,Fuera SC,Sucre,Morroa,70473,2018,14937
Fuera SC,Fuera SC,Sucre,Ovejas,70508,2018,20906
Fuera SC,Fuera SC,Sucre,Palmito,70523,2018,14499
Fuera SC,Fuera SC,Sucre,Sampués,70670,2018,38339
Fuera SC,Fuera SC,Sucre,San Benito Abad,70678,2018,26298
Fuera SC,Fuera SC,Sucre,San Juan de Betulia,70702,2018,12583
Fuera SC,Fuera SC,Sucre,San Marcos,70708,2018,59237
Fuera SC,Fuera SC,Sucre,San Onofre,70713,2018,51536
Fuera SC,Fuera SC,Sucre,San Pedro,70717,2018,15925
Fuera SC,Fuera SC,Sucre,San Luis de Sincé,70742,2018,34681
Fuera SC,Fuera SC,Sucre,Sucre,70771,2018,22450
Fuera SC,Fuera SC,Sucre,Santiago de Tolú,70820,2018,35054
Fuera SC,Fuera SC,Sucre,Tolú Viejo,70823,2018,18892
SA-Otros SC,Uninodal,Tolima,Ibagué,73001,2018,569336
Fuera SC,Fuera SC,Tolima,Alpujarra,73024,2018,4948
Fuera SC,Fuera SC,Tolima,Alvarado,73026,2018,8777
Fuera SC,Fuera SC,Tolima,Ambalema,73030,2018,6594
Fuera SC,Fuera SC,Tolima,Anzoátegui,73043,2018,19059
Fuera SC,Fuera SC,Tolima,Armero Guayabal,73055,2018,11609
Fuera SC,Fuera SC,Tolima,Ataco,73067,2018,22752
Fuera SC,Fuera SC,Tolima,Cajamarca,73124,2018,19611
Fuera SC,Fuera SC,Tolima,Carmen de Apicalá,73148,2018,8916
Fuera SC,Fuera SC,Tolima,Casabianca,73152,2018,6603
Fuera SC,Fuera SC,Tolima,Chaparral,73168,2018,47344
Fuera SC,Fuera SC,Tolima,Coello,73200,2018,9963
Fuera SC,Fuera SC,Tolima,Coyaima,73217,2018,28412
Fuera SC,Fuera SC,Tolima,Cunday,73226,2018,9459
Fuera SC,Fuera SC,Tolima,Dolores,73236,2018,7826
Fuera SC,Fuera SC,Tolima,Espinal,73268,2018,75949
Fuera SC,Fuera SC,Tolima,Falan,73270,2018,9196
A-Girardot,En aglomeración,Tolima,Flandes,73275,2018,29377
Fuera SC,Fuera SC,Tolima,Fresno,73283,2018,29917
